# Data 1

list(n = 619)

# Data 2

air_temperature[]   cloud[]   gsr[]   hum[]   sap[]   rain[]   snow[]   feb[]   mar[]   apr[]   may[]   jun[]   jul[]   aug[]   sep[]   oct[]   nov[]   dec[]   hom_1[]   hom_2[]   hom_3[]
9.6  6.6  10.5  57.0  -2.972368421052579  99.9  0.0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
13.6  7.8  11.2  68.0  0.7276315789474666  133.7  0.0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
17.9  6.0  16.1  62.0  -1.6723684210525107  196.2  0.0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
20.1  8.7  11.9  73.0  -3.472368421052579  510.2  0.0  0  0  0  0  1  0  0  0  0  0  0  0  0  0
24.4  8.3  10.9  76.0  -4.7723684210525334  160.8  0.0  0  0  0  0  0  1  0  0  0  0  0  0  0  0
26.9  6.7  13.6  71.0  -3.972368421052579  54.5  0.0  0  0  0  0  0  0  1  0  0  0  0  0  0  0
23.2  8.2  9.7  73.0  -2.972368421052579  197.1  0.0  0  0  0  0  0  0  0  1  0  0  0  0  0  0
18.9  5.5  10.4  65.0  1.6276315789474438  108.5  0.0  0  0  0  0  0  0  0  0  1  0  0  0  0  0
12.9  5.9  7.9  57.0  2.9276315789473983  29.0  0.0  0  0  0  0  0  0  0  0  0  1  0  0  0  0
6.6  4.8  7.2  47.0  2.3276315789474893  8.0  0.0  0  0  0  0  0  0  0  0  0  0  1  0  0  0
4.4  3.2  8.2  46.0  1.4276315789473983  32.2  0.0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4.9  5.0  9.6  57.0  4.2276315789474666  43.8  24.0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
9.5  5.3  11.5  54.0  1.7276315789474666  69.7  0.0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
14.5  7.0  12.6  58.0  4.827631578947489  104.7  0.0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
20.0  6.3  16.8  62.0  -1.6723684210525107  49.3  0.0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
23.0  7.4  14.6  67.0  -7.672368421052511  109.3  0.0  0  0  0  0  1  0  0  0  0  0  0  0  0  0
26.3  7.9  12.8  73.0  -6.172368421052511  89.2  0.0  0  0  0  0  0  1  0  0  0  0  0  0  0  0
28.0  7.4  12.3  67.0  -6.7723684210525334  67.3  0.0  0  0  0  0  0  0  1  0  0  0  0  0  0  0
22.6  8.4  8.6  74.0  -3.472368421052579  148.8  0.0  0  0  0  0  0  0  0  1  0  0  0  0  0  0
16.9  6.9  8.6  66.0  2.2276315789474666  214.7  0.0  0  0  0  0  0  0  0  0  1  0  0  0  0  0
12.1  7.1  6.6  61.0  7.327631578947489  61.4  0.0  0  0  0  0  0  0  0  0  0  1  0  0  0  0
6.7  3.3  7.5  53.0  2.3276315789474893  32.9  0.0  0  0  0  0  0  0  0  0  0  0  1  0  0  0
5.7  3.2  9.4  44.0  -2.472368421052579  9.5  0.0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4.3  4.4  11.3  44.0  2.127631578947444  48.0  30.0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
10.0  6.7  10.8  56.0  0.5276315789474211  94.0  0.0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
14.1  6.4  13.9  62.0  4.027631578947421  117.5  0.0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
17.5  7.0  14.2  69.0  -2.472368421052579  185.5  0.0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
22.0  8.1  13.7  72.0  -2.7723684210525334  175.0  0.0  0  0  0  0  1  0  0  0  0  0  0  0  0  0
24.7  8.0  11.4  78.0  -6.672368421052511  136.0  0.0  0  0  0  0  0  1  0  0  0  0  0  0  0  0
26.6  7.9  10.7  79.0  -5.7723684210525334  256.0  0.0  0  0  0  0  0  0  1  0  0  0  0  0  0  0
21.9  7.3  10.1  73.0  1.3276315789474893  109.5  0.0  0  0  0  0  0  0  0  1  0  0  0  0  0  0
16.3  7.3  7.1  68.0  1.6276315789474438  152.5  0.0  0  0  0  0  0  0  0  0  1  0  0  0  0  0
14.1  3.7  8.9  56.0  5.027631578947421  19.5  0.0  0  0  0  0  0  0  0  0  0  1  0  0  0  0
10.2  5.7  6.0  59.0  0.9276315789473983  188.0  0.0  0  0  0  0  0  0  0  0  0  0  1  0  0  0
5.7  5.4  6.8  56.0  0.22763157894746655  54.5  2.0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
5.7  7.5  6.8  60.0  2.627631578947444  100.0  8.0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
7.9  6.3  11.3  58.0  1.6276315789474438  121.0  54.0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
14.6  6.5  13.1  61.0  0.5276315789474211  73.0  2.0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
19.6  6.2  14.4  61.0  -4.872368421052556  88.5  0.0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
21.8  7.3  12.6  67.0  -5.672368421052511  187.5  0.0  0  0  0  0  1  0  0  0  0  0  0  0  0  0
25.0  8.0  11.0  73.0  -3.0723684210526017  102.0  0.0  0  0  0  0  0  1  0  0  0  0  0  0  0  0
27.2  7.4  11.3  74.0  -4.972368421052579  131.5  0.0  0  0  0  0  0  0  1  0  0  0  0  0  0  0
22.8  7.2  9.5  71.0  -0.07236842105260166  238.5  0.0  0  0  0  0  0  0  0  1  0  0  0  0  0  0
17.3  7.0  8.3  64.0  2.027631578947421  146.0  0.0  0  0  0  0  0  0  0  0  1  0  0  0  0  0
12.8  6.3  6.7  63.0  4.7276315789474666  93.5  0.0  0  0  0  0  0  0  0  0  0  1  0  0  0  0
7.2  3.1  7.6  51.0  2.7276315789474666  7.0  0.0  0  0  0  0  0  0  0  0  0  0  1  0  0  0
4.5  4.2  8.0  47.0  0.9276315789473983  58.5  0.0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
6.0  4.2  8.7  51.0  1.7276315789474666  34.5  3.0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
5.5  5.8  12.4  52.0  0.9276315789473983  46.5  3.0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
13.0  7.5  10.8  68.0  3.8276315789474893  94.0  0.0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
19.6  7.5  14.0  68.0  -1.3723684210525562  161.5  0.0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
18.6  6.8  15.2  65.0  -3.7723684210525334  116.0  0.0  0  0  0  1  0  0  0  0  0  0  0  1  0  0
